iteration,best_value
0.970874,0.0738325
17.4757,0.0739624
31.068,0.0735642
39.8058,0.073563
46.6019,0.0727692
57.2816,0.0727678
68.932,0.0723697
125.243,0.0718337
299.029,0.0715464
500.0,0.071652
600.971,0.0717313
700.0,0.0717313
800.0,0.0717313
900.0,0.0717313
945.631,0.0717313
970.874,0.0717313
980.0,0.0717313
993.0,0.0717313
998.0,0.0717313
1000.0,0.0717313
