iteration,best_value
13.5922,0.150218
15.534,0.140306
18.4466,0.130262
18.4466,0.125901
18.4466,0.123125
25.2427,0.120349
30.0971,0.11863
32.0388,0.11189
33.9806,0.103167
36.8932,0.0927264
38.835,0.0795103
40.7767,0.0738272
52.4272,0.0739578
66.0194,0.0726344
93.2039,0.0726309
114.563,0.0724959
133.01,0.0718326
198.058,0.0719562
298.058,0.0716787
997.087,0.0715863
